"","Opinion_A","Opinion_B","No_Opinion","Peak_Rate","Prcnt_Same_Clust","Duration","Links","Expertise_Influence","P_Prop","P_H_SD","Agent_type","Percentage"
"1",50.0199600798403,49.7105788423154,0.269461077844311,8.21,49.5009628041065,26.4,0.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.0199600798403
"2",49.8502994011976,49.9500998003992,0.199600798403194,11.64,49.7036417717374,18.3,1,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.8502994011976
"3",49.4710578842315,50.3293413173653,0.199600798403194,16.28,49.9677819149203,14,1.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.4710578842315
"4",50.4191616766467,49.3812375249501,0.199600798403194,20.16,49.9566758122303,12.5,2,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.4191616766467
"5",50.0099800399202,49.7904191616766,0.199600798403194,23.52,49.8455094457477,10.5,2.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.0099800399202
"6",50.7984031936128,49.001996007984,0.199600798403194,22.91,49.7779533519629,10.2,3,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.7984031936128
"7",49.4011976047904,50.3992015968064,0.199600798403194,24.75,49.7193684221678,10.1,3.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.4011976047904
"8",49.1217564870259,50.6786427145709,0.199600798403194,24.46,49.7814555300084,9.8,4,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.1217564870259
"9",49.6407185628743,50.1596806387226,0.199600798403194,32.06,49.9304540110617,9.2,4.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.6407185628743
"10",50.5289421157685,49.2714570858283,0.199600798403194,35.5,49.7737498335113,8.1,5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.5289421157685
"11",49.5409181636727,50.2594810379241,0.199600798403194,33.74,49.833550151653,8.2,5.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.5409181636727
"12",49.6107784431138,50.189620758483,0.199600798403194,36.86,49.7056623291104,7.7,6,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.6107784431138
"13",49.2015968063872,50.5988023952096,0.199600798403194,37.88,49.7917724699476,7.8,6.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.2015968063872
"14",50.0099800399202,49.7904191616766,0.199600798403194,34.66,49.8202193089356,8,7,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.0099800399202
"15",50.2095808383234,49.5908183632734,0.199600798403194,38,49.8540918405267,7.6,7.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.2095808383234
"16",50.2794411177645,49.5209580838323,0.199600798403194,46.88,49.8380577506444,7,8,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.2794411177645
"17",49.9201596806387,49.8802395209581,0.199600798403194,41.01,49.7849648331925,7.6,8.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.9201596806387
"18",50.0299401197605,49.7704590818363,0.199600798403194,41.54,49.6951660281073,7.2,9,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.0299401197605
"19",50.0099800399202,49.7904191616766,0.199600798403194,49.62,49.7963123953713,6.7,9.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.0099800399202
"20",50.6287425149701,49.1716566866267,0.199600798403194,50.84,49.798088075815,6.5,10,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.6287425149701
"21",49.9201596806387,49.8802395209581,0.199600798403194,50.99,49.8938443637893,6.6,10.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.9201596806387
"22",50.8682634730539,48.9321357285429,0.199600798403194,49.7,49.7856285898716,6.8,11,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",50.8682634730539
"23",49.5109780439122,50.2894211576846,0.199600798403194,51.79,49.8544363432344,6.4,11.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.5109780439122
"24",49.8203592814371,49.9800399201597,0.199600798403194,53.87,49.7627595055761,6.5,12,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",49.8203592814371
