"","Opinion_A","Opinion_B","No_Opinion","Peak_Rate","Prcnt_Same_Clust","Duration","Links","Expertise_Influence","P_Prop","P_H_SD","Agent_type","Percentage"
"1",47.9940119760479,51.8063872255489,0.199600798403194,9.07,50.7844352642257,23.4,0.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",47.9940119760479
"2",48.3333333333333,51.4670658682635,0.199600798403194,12.07,49.9508575365594,18.2,1,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.3333333333333
"3",48.2135728542914,51.5868263473054,0.199600798403194,18.34,50.0475997052899,13.3,1.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.2135728542914
"4",47.0758483033932,52.7245508982036,0.199600798403194,19.63,50.1884138964082,12.1,2,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",47.0758483033932
"5",47.5349301397206,52.2654690618762,0.199600798403194,21.55,50.3471376700712,11.2,2.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",47.5349301397206
"6",48.6127744510978,51.187624750499,0.199600798403194,23.31,50.0356453852505,10.1,3,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.6127744510978
"7",47.435129740519,52.3652694610778,0.199600798403194,27.8,50.0196162635625,9.8,3.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",47.435129740519
"8",48.313373253493,51.4870259481038,0.199600798403194,27.68,49.919324050806,9.4,4,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.313373253493
"9",47.9740518962076,51.8263473053892,0.199600798403194,35.47,49.9571800073306,8.2,4.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",47.9740518962076
"10",47.9840319361277,51.8163672654691,0.199600798403194,32.31,50.0598820181467,8.7,5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",47.9840319361277
"11",48.0139720558882,51.7864271457086,0.199600798403194,37.65,49.76960675864,7.9,5.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.0139720558882
"12",47.7445109780439,52.0558882235529,0.199600798403194,39.01,50.0277640147636,7.7,6,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",47.7445109780439
"13",48.1936127744511,51.6067864271457,0.199600798403194,38.08,50.0063934539224,7.7,6.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.1936127744511
"14",48.3033932135729,51.497005988024,0.199600798403194,35.22,49.7726753575506,8,7,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.3033932135729
"15",48.2834331337325,51.5169660678643,0.199600798403194,37.26,50.009971849894,7.8,7.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.2834331337325
"16",48.6526946107784,51.1477045908184,0.199600798403194,47.32,49.7794370110639,7,8,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.6526946107784
"17",47.1556886227545,52.6447105788423,0.199600798403194,47.3,50.0004254667847,7.1,8.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",47.1556886227545
"18",48.9321357285429,50.8682634730539,0.199600798403194,43.59,49.8723252998959,7.2,9,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.9321357285429
"19",48.5928143712575,51.2075848303393,0.199600798403194,49.85,49.8714204019458,6.7,9.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.5928143712575
"20",48.12375249501,51.6766467065868,0.199600798403194,45.38,49.8434523729913,7,10,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.12375249501
"21",48.373253493014,51.4271457085828,0.199600798403194,41.42,49.9179699027912,7,10.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.373253493014
"22",48.0239520958084,51.7764471057884,0.199600798403194,48.87,49.8776207969466,6.7,11,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.0239520958084
"23",47.7544910179641,52.0459081836327,0.199600798403194,54.31,49.846945680268,6.4,11.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",47.7544910179641
"24",48.4031936127744,51.3972055888224,0.199600798403194,51.84,49.8061369013823,6.5,12,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.4031936127744
"25",48.2435129740519,51.5568862275449,0.199600798403194,55.68,49.9168705944008,6.4,12.5,"Neutral","1.0 (100% propagation)","0.5","Opinion_A",48.2435129740519
